dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,904.0,0.2962232262798927,0.54,0.361296899805581,3.0749727726983553,153.17208795533082,0.3252061315399805,0.5780303594703733,0.7921167966222785,0.9247473404255316,37.39640764380193,58.394328525618
Country × Religion,"['country', 'religion']",Religious representativeness by country,904.0,0.4958498396197628,0.5132743362831859,0.44289399699625187,2.7514656744120214,262.0421569148142,0.36344265868906267,0.32232219096663867,0.9381171701935908,0.970043956043956,52.85585376477427,52.91248227311544
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,904.0,0.40235757479048717,0.45038167938931295,0.4093081971259257,8.009304516808841,105.00287487322068,0.12485478581833613,0.28460572167949816,0.9503124693227294,0.9765208333333332,42.33950282450152,46.12105180100916
Country,['country'],Country-level representativeness,904.0,0.5811963803794595,0.494949494949495,0.49124632036877947,2.4117096330417467,357.83743953933174,0.4146436147616822,0.22228350054292803,0.995,0.99,58.411696520548695,49.99489847974697
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,904.0,0.5292362032045218,0.6369047619047619,0.5210302065231337,3.032268741048716,285.5947391063011,0.3297860728710174,0.26641427543860935,0.98,0.99,54.00369420454304,64.33381433381433
Region × Religion,"['region', 'religion']",Regional religious representativeness,904.0,0.6249220504877953,0.7692307692307693,0.591534728919723,1.8887606572729845,435.73546326841506,0.5294477074950366,0.11855982741121258,0.98,0.99,63.767556172224005,77.70007770007771
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,904.0,0.5217060781889598,0.8157894736842105,0.5491226400152664,4.379049573335793,206.4374894279553,0.2283600546769417,0.07575019121789046,0.98,0.99,53.235314100914266,82.40297713981924
Region,['region'],Regional representativeness,904.0,0.7692408090896327,0.9,0.7215443821932701,1.7837018338550121,506.8111625171326,0.5606318169437308,0.04456410016357234,0.98,0.99,78.49396011118701,90.90909090909092
Continent,['continent'],Continental representativeness,904.0,0.8557569161777043,1.0,0.9008203223566649,1.0840917009528057,833.8777976120253,0.9224311920487006,0.0,0.995,1.0,86.00572021886475,100.0
Religion,['religion'],Global religious representativeness,904.0,0.8404795005432999,1.0,0.7792006786263225,1.3688822978301547,658.2012211190071,0.7305229979123273,0.0,0.9961283185840708,1.0,84.37462170917746,100.0
Environment,['environment'],Global urban/rural representativeness,904.0,0.6358217075682354,1.0,0.6094674081990101,2.743207868264447,329.54119534949285,0.3645367205193505,0.0,0.9988938053097345,1.0,63.65258290605591,100.0
Age Group,['age_group'],Global age representativeness,904.0,0.6993504407893666,0.8333333333333334,0.6555113685528019,1.788420820208505,500.4415011762475,0.5591525152807234,0.1333184770949109,0.9961283185840708,1.0,70.20686268446279,83.33333333333334
Gender,['gender'],Global gender representativeness,904.0,0.9978422209776158,1.0,0.9983680125622373,1.0000186241323967,903.9831640978674,0.9999813762144552,0.0,0.9988938053097345,1.0,99.8947251122663,100.0
Overall (Average),,,,0.6346140729305179,0.7656818345211592,0.6177957817111513,,,,,,,,
