dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,62927.0,0.2130737082591504,0.7142857142857143,0.2878234086709378,3.803538318592949,4863.36627912375,0.2629130867728269,0.49011378867699334,0.8728720823789424,0.9599740680713128,24.41064533516013,74.40677181215824,WVS_Wave_7,62927
Country × Religion,"['country', 'religion']",Religious representativeness by country,62927.0,0.36506113269926155,0.6386554621848739,0.46183344405567306,12.269520490857536,3889.312547752613,0.08150277761426261,0.24860628499852255,0.9650464461761468,0.9894285714285715,37.82834848475554,64.54790983676172,WVS_Wave_7,62927
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,62927.0,0.3810083270071879,0.5379310344827586,0.4498388380657182,52.21983883121249,976.8318160627996,0.019149810156102717,0.2501302954385088,0.975817157862259,0.9921604938271604,39.04505305500777,54.218146945938464,WVS_Wave_7,62927
Country,['country'],Country-level representativeness,62927.0,0.3943657844164009,0.5,0.4594292348381426,7.278119401828465,7468.137989924261,0.13739813058697173,0.22002275905400356,0.995,0.99,39.63475220265336,50.505050505050505,WVS_Wave_7,62927
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,62927.0,0.46647790918259924,0.7955801104972375,0.5673118645596088,2.7541579509603906,18112.250963168313,0.36308738198958207,0.17271234256727216,0.98,0.99,47.59978665128563,80.36162732295328,WVS_Wave_7,62927
Region × Religion,"['region', 'religion']",Regional religious representativeness,62927.0,0.541534318415781,0.9259259259259259,0.6048849927458447,7.659662953990489,7609.3426499445395,0.13055404735256992,0.030839269450712373,0.98,0.99,55.25860391997766,93.52787130564909,WVS_Wave_7,62927
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,62927.0,0.5544769100444734,0.8181818181818182,0.6719370310769992,5.9747679375177,10528.107644986449,0.16737051722471816,0.023619438271405765,0.98,0.99,56.57927653515035,82.64462809917356,WVS_Wave_7,62927
Region,['region'],Regional representativeness,62927.0,0.5607866005636719,0.8181818181818182,0.6994332481774082,2.729092796427597,23057.84547977699,0.36642213167284293,0.020217120847807635,0.98,0.99,57.223122506497134,82.64462809917356,WVS_Wave_7,62927
Continent,['continent'],Continental representativeness,62927.0,0.6723150564174857,1.0,0.8653178999260448,1.4545111349670032,43263.33328581053,0.6875162217459998,0.0,0.995,1.0,67.5693524037674,100.0,WVS_Wave_7,62927
Religion,['religion'],Global religious representativeness,62927.0,0.7749162077209244,1.0,0.7009787320887724,1.7082370070534882,35700.549600662314,0.5853988620261099,0.0,0.999,1.0,77.5691899620545,100.0,WVS_Wave_7,62927
Environment,['environment'],Global urban/rural representativeness,62927.0,0.8556047340024334,1.0,0.8292504346332081,1.0988891983116924,57242.34990810966,0.9100098549848125,0.0,0.999,1.0,85.6461195197631,100.0,WVS_Wave_7,62927
Age Group,['age_group'],Global age representativeness,62927.0,0.8144157501716872,0.8333333333333334,0.818592833223963,1.0274295881983009,52372.44539001392,0.9733027075398896,0.1333184770949109,0.999,1.0,81.52309811528401,83.33333333333334,WVS_Wave_7,62927
Gender,['gender'],Global gender representativeness,62927.0,0.9704208534852644,1.0,0.9698950619006429,1.0035128873834926,62706.71836021218,0.9964994097956709,0.0,0.999,1.0,97.13922457309954,100.0,WVS_Wave_7,62927
Overall (Average),,,,0.5818813301835631,0.8140057859287293,0.6451174633817663,,,,,,,,,WVS_Wave_7,62927
