dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,85219.0,0.19837540127160358,0.6130952380952381,0.2403219939215433,1.9601992882998471,10413.737073491619,0.5101522105271943,0.5083704794235117,0.8728720823789424,0.9599740680713128,22.726743732133972,63.86581247210249,WVS_Wave_6,85219
Country × Religion,"['country', 'religion']",Religious representativeness by country,85219.0,0.29909773251668104,0.3949579831932773,0.3885848638215864,7.842710122581288,5317.677097349296,0.12750694394795098,0.45104158126758254,0.9650464461761468,0.9894285714285715,30.993091959647266,39.91778634641843,WVS_Wave_6,85219
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,85219.0,0.27617240793066733,0.4068965517241379,0.3783499487355798,3.745936489666984,15342.224877151935,0.26695594085977165,0.4727605889117874,0.975817157862259,0.9921604938271604,28.301655254318693,41.011162433466275,WVS_Wave_6,85219
Country,['country'],Country-level representativeness,85219.0,0.3738896755252594,0.4215686274509804,0.4898588341769442,3.677326899093372,18318.46932526125,0.2719366614500727,0.283874860805171,0.995,0.99,37.576851811583865,42.58268964151317,WVS_Wave_6,85219
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,85219.0,0.5012031051178072,0.8011049723756906,0.5961989053316259,2.0722725663345396,33094.10215341755,0.4825620028203201,0.17165597830637114,0.98,0.99,51.143173991612976,80.9196941793627,WVS_Wave_6,85219
Region × Religion,"['region', 'religion']",Regional religious representativeness,85219.0,0.5711600876739844,0.8703703703703703,0.631695467293388,3.5197633873868717,19312.661823687657,0.28411000682134374,0.03962422947140907,0.98,0.99,58.28164159938617,87.91619902731014,WVS_Wave_6,85219
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,85219.0,0.5358738859056534,0.7727272727272727,0.6648584014640039,2.8725072040068804,29667.114457059466,0.34812793458101443,0.06691486342758328,0.98,0.99,54.681008765883,78.0532598714417,WVS_Wave_6,85219
Region,['region'],Regional representativeness,85219.0,0.5972658706840133,0.8181818181818182,0.7281550211261578,2.086482608974044,40843.379011868936,0.47927550208133085,0.020217120847807635,0.98,0.99,60.94549700857278,82.64462809917356,WVS_Wave_6,85219
Continent,['continent'],Continental representativeness,85219.0,0.7876803013625381,1.0,0.9013977553775707,1.1913866739867567,71529.25398672647,0.839358053799346,0.0,0.995,1.0,79.16384938316966,100.0,WVS_Wave_6,85219
Religion,['religion'],Global religious representativeness,85219.0,0.8610132954602381,1.0,0.781868807814236,1.264173794947929,60379.356307685535,0.7910304769774078,0.0,0.999,1.0,86.18751706308689,100.0,WVS_Wave_6,85219
Environment,['environment'],Global urban/rural representativeness,85219.0,0.9135647015451088,1.0,0.9399190009143341,1.0300196312149827,82735.31631574636,0.9708552824575077,0.0,0.999,1.0,91.44791807258346,100.0,WVS_Wave_6,85219
Age Group,['age_group'],Global age representativeness,85219.0,0.8488498569428279,0.8333333333333334,0.8313623222562008,1.0055827666520687,75679.49901664461,0.9944482275977584,0.1333184770949109,0.999,1.0,84.96995564993271,83.33333333333334,WVS_Wave_6,85219
Gender,['gender'],Global gender representativeness,85219.0,0.9781282925779324,1.0,0.9776025009933109,1.001917516788442,85055.90387636097,0.9980861530452243,0.0,0.999,1.0,97.91073999779103,100.0,WVS_Wave_6,85219
Overall (Average),,,,0.5955595857318705,0.7640181667270861,0.6577056787097295,,,,,,,,,WVS_Wave_6,85219
