dimension,columns,description,n_samples,gri,diversity,sri,vwrs,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,83879.0,0.17035229722774548,0.6130952380952381,0.2080678128843545,0.7710736662703513,0.8728720823789424,0.9599740680713128,19.516295762772483,63.86581247210249,WVS_Wave_5,83879
Country × Religion,"['country', 'religion']",Religious representativeness by country,83879.0,0.2311243757920265,0.3865546218487395,0.3130767277422126,0.9558424927049088,0.9650464461761468,0.9894285714285715,23.94955980697328,39.06847174330315,WVS_Wave_5,83879
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,83879.0,0.37704329696066197,0.3724137931034483,0.4553757631887675,0.9831323089432203,0.975817157862259,0.9921604938271604,38.638723855466715,37.53564019334202,WVS_Wave_5,83879
Country,['country'],Country-level representativeness,83879.0,0.3509742065618463,0.4215686274509804,0.4704088482362475,0.9863173877414924,0.995,0.99,35.27378960420566,42.58268964151317,WVS_Wave_5,83879
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,83879.0,0.49848732494760095,0.7900552486187845,0.6174515207045814,0.9876244054023761,0.98,0.99,50.866053566081725,79.80356046654389,WVS_Wave_5,83879
Region × Religion,"['region', 'religion']",Regional religious representativeness,83879.0,0.47410940995975637,0.6666666666666666,0.50056711903283,0.9275543668394268,0.98,0.99,48.3785112203833,67.34006734006734,WVS_Wave_5,83879
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,83879.0,0.6221166087611727,0.7272727272727273,0.7286816350377291,0.9885361261065645,0.98,0.99,63.48128660828293,73.46189164370983,WVS_Wave_5,83879
Region,['region'],Regional representativeness,83879.0,0.5879754491383977,0.7727272727272727,0.7395567808359484,0.9765064479605647,0.98,0.99,59.997494810040585,78.0532598714417,WVS_Wave_5,83879
Continent,['continent'],Continental representativeness,83879.0,0.696613878593118,1.0,0.8614437249742235,0.7926733020259001,0.995,1.0,70.01144508473547,100.0,WVS_Wave_5,83879
Religion,['religion'],Global religious representativeness,83879.0,0.6501329456853284,0.8571428571428571,0.5487195957914615,0.8378789510759916,0.99,1.0,65.66999451366954,85.71428571428571,WVS_Wave_5,83879
Environment,['environment'],Global urban/rural representativeness,83879.0,0.8657351661321666,1.0,0.8657351661321666,0.8666515214391657,0.99,1.0,87.44799657900673,100.0,WVS_Wave_5,83879
Age Group,['age_group'],Global age representativeness,83879.0,0.8403277932502544,0.8333333333333334,0.8207356744878049,0.8690136104230783,0.99,1.0,84.88159527780348,83.33333333333334,WVS_Wave_5,83879
Gender,['gender'],Global gender representativeness,83879.0,0.9805279729395174,1.0,0.9800021813548959,0.9805279729395174,0.99,1.0,99.04322958985024,100.0,WVS_Wave_5,83879
Overall (Average),,,,0.5650400558422765,0.7262177220200037,0.623832503877171,0.9171794276825044,,,,,WVS_Wave_5,83879
