dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,77761.0,0.17160442923785113,0.625,0.21223255453290013,2.7378300929064947,5998.5460904059455,0.3652527607870636,0.5004786521787087,0.8728720823789424,0.9599740680713128,19.659745419988354,65.10592533563846,WVS_Wave_3,77761
Country × Religion,"['country', 'religion']",Religious representativeness by country,77761.0,0.2774811421189508,0.3949579831932773,0.3507331412276308,3.940266213511357,10557.40849624705,0.25378995880302535,0.5239675016908387,0.9650464461761468,0.9894285714285715,28.753138589176576,39.91778634641843,WVS_Wave_3,77761
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,77761.0,0.3821297414587903,0.2620689655172414,0.4353728086833013,4.663260543018097,7429.351133268976,0.21444223216247585,0.40855500589963895,0.975817157862259,0.9921604938271604,39.159973605703875,26.413969024944382,WVS_Wave_3,77761
Country,['country'],Country-level representativeness,77761.0,0.3015859471340733,0.3333333333333333,0.37945622927862444,5.309231903846869,10440.869979673584,0.18835116229815424,0.30928364361114025,0.995,0.99,30.31014544061038,33.67003367003367,WVS_Wave_3,77761
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,77761.0,0.35976282460384934,0.6795580110497238,0.4563246003946916,3.498467990882564,18326.879127404947,0.285839402448764,0.2464224705440953,0.98,0.99,36.71049230651524,68.64222333835593,WVS_Wave_3,77761
Region × Religion,"['region', 'religion']",Regional religious representativeness,77761.0,0.41676247157302637,0.7777777777777778,0.48961993587602637,13.596352642843646,5245.377335629625,0.07354913676252312,0.13651835210989355,0.98,0.99,42.52678281357412,78.56341189674522,WVS_Wave_3,77761
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,77761.0,0.4704628569336493,0.5909090909090909,0.5568840862363276,4.350122895997673,12152.070473373647,0.2298785629527959,0.25332145280003465,0.98,0.99,48.00641397282136,59.68778696051423,WVS_Wave_3,77761
Region,['region'],Regional representativeness,77761.0,0.42320086506690135,0.6818181818181818,0.5529121660238309,3.3478504071988087,23227.142955011444,0.2986991288050751,0.10677866424395674,0.98,0.99,43.18376174152055,68.87052341597796,WVS_Wave_3,77761
Continent,['continent'],Continental representativeness,77761.0,0.5357863589776345,1.0,0.6753064835983931,2.064786393158046,37660.55426249988,0.48431159916281785,0.0,0.995,1.0,53.84787527413412,100.0,WVS_Wave_3,77761
Religion,['religion'],Global religious representativeness,77761.0,0.6671132818607541,1.0,0.5913061042413725,2.219067076225686,33284.70815115104,0.4506398254985857,0.0,0.999,1.0,66.77810629236778,100.0,WVS_Wave_3,77761
Environment,['environment'],Global urban/rural representativeness,77761.0,0.8399068942014635,1.0,0.8399068942014635,1.0846112909018166,48739.120128508206,0.9219892955093015,0.0,0.999,1.0,84.07476418433068,100.0,WVS_Wave_3,77761
Age Group,['age_group'],Global age representativeness,77761.0,0.8330474721835271,0.8333333333333334,0.8093946708383506,1.0142074192854693,68941.51893432296,0.9859916038718404,0.1333184770949109,0.999,1.0,83.38813535370642,83.33333333333334,WVS_Wave_3,77761
Gender,['gender'],Global gender representativeness,77761.0,0.9817809988201012,1.0,0.9812552072354797,1.0013297031861579,77657.73825800851,0.9986720625764652,0.0,0.999,1.0,98.27637625826839,100.0,WVS_Wave_3,77761
Overall (Average),,,,0.512355791090044,0.7060582059178431,0.5639003755667994,,,,,,,,,WVS_Wave_3,77761
