dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,1022.0,0.3303473634209183,0.5654761904761905,0.3788681100861674,3.093580965425468,187.8082411591557,0.32324998478340056,0.5180719217752625,0.7921167966222785,0.961676646706587,41.70437552007178,58.801073355867864
Country × Religion,"['country', 'religion']",Religious representativeness by country,1022.0,0.47795677543664483,0.5378151260504201,0.4293532009608687,2.0697643392277616,371.5398827901911,0.48314679166474794,0.312826759994021,0.9381171701935908,0.9872033898305084,50.94851588080551,54.47865471194917
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,1022.0,0.3957008978916028,0.42758620689655175,0.370163363636027,14.662221119634594,65.06517615686968,0.06820249073047137,0.2987054044372915,0.9503124693227294,0.9847013888888888,41.63903038898476,43.422931227814026
Country,['country'],Country-level representativeness,1022.0,0.5764136320206594,0.49019607843137253,0.49076229783516967,2.1699556775067608,456.23051671612563,0.4608389057738643,0.21960492734837314,0.995,0.99,57.93101829353361,49.51475539710833
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,1022.0,0.5472262872887551,0.6574585635359116,0.5350423783128584,2.6851954524793102,367.9434206875906,0.37241236911699455,0.2430615213095757,0.98,0.99,55.83941707028114,66.40995591271835
Region × Religion,"['region', 'religion']",Regional religious representativeness,1022.0,0.594943460018821,0.8518518518518519,0.5916385400332962,3.2234432704254607,284.16817767638196,0.31022726820565716,0.061549453869309066,0.98,0.99,60.708516328451125,86.04564160119715
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,1022.0,0.5126329111632368,0.8157894736842105,0.5433695861577619,8.24263110188873,123.98953530333503,0.12132048464122802,0.05568050117298607,0.98,0.99,52.30948073094254,82.40297713981924
Region,['region'],Regional representativeness,1022.0,0.7440064295915829,0.95,0.7554624601773308,3.5794044004424603,285.5223622884488,0.27937608834486183,0.0015338626637454366,0.98,0.99,75.91902342771255,95.95959595959596
Continent,['continent'],Continental representativeness,1022.0,0.7964313366523692,1.0,0.8616207393338026,1.1785062363336347,867.1994839666442,0.8485317847031744,0.0,0.995,1.0,80.04335041732354,100.0
Religion,['religion'],Global religious representativeness,1022.0,0.7880266297003703,1.0,0.7356066499128853,1.4124855304848893,721.4233193951301,0.7079718541659765,0.0,0.9965753424657534,1.0,79.07346249914369,100.0
Environment,['environment'],Global urban/rural representativeness,1022.0,0.623307203645682,1.0,0.5969529042764568,3.166807449730314,322.7224945700547,0.3157754350000535,0.0,0.999,1.0,62.393113478046246,100.0
Age Group,['age_group'],Global age representativeness,1022.0,0.7374589561072407,1.0,0.693619883870676,2.877221371009479,355.2038123647848,0.34755754634519065,0.0,0.9965753424657534,1.0,73.9993179324104,100.0
Gender,['gender'],Global gender representativeness,1022.0,0.9961592164260522,1.0,0.9956334248414307,1.0000590121237307,1021.9396931683814,0.9999409913584946,0.0,0.999,1.0,99.7156372798851,100.0
Overall (Average),,,,0.6246623922587643,0.7920133454558853,0.6136995030334409,,,,,,,,
