dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,24553.0,0.222185283044817,0.39880952380952384,0.3271295924195583,2.7890077659121864,3862.3054878719054,0.3585504537571394,0.5930083487224556,0.8728720823789424,0.9599740680713128,25.454506740468652,41.543780928455014,WVS_Wave_2,24553
Country × Religion,"['country', 'religion']",Religious representativeness by country,24553.0,0.33655868989825455,0.25210084033613445,0.3193938704029494,54.260855830981,320.8021645331519,0.01842949184426678,0.48770132138707756,0.9650464461761468,0.9894285714285715,34.874869622267234,25.479438093458572,WVS_Wave_2,24553
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,24553.0,0.3486677201496978,0.10344827586206896,0.32186076287279686,236.6948397073526,58.754977578702146,0.004224849182332792,0.6631242553376446,0.975817157862259,0.9921604938271604,35.730845408942265,10.426566720372781,WVS_Wave_2,24553
Country,['country'],Country-level representativeness,24553.0,0.2975756749402292,0.16666666666666666,0.27355145178106266,4.561440798500664,5280.787598496877,0.21922897702162394,0.47167546063678445,0.995,0.99,29.90710300906826,16.835016835016834,WVS_Wave_2,24553
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,24553.0,0.4384896929605243,0.5138121546961326,0.49194523616330865,2.1005660893660316,10153.453446654928,0.4760621458484119,0.37605694114885024,0.98,0.99,44.74384622046166,51.900217646074,WVS_Wave_2,24553
Region × Religion,"['region', 'religion']",Regional religious representativeness,24553.0,0.49363112214541416,0.5370370370370371,0.48950545126663025,5.407949471001366,3806.803319889007,0.184912970315685,0.273905700357132,0.98,0.99,50.37052266789941,54.246165357276475,WVS_Wave_2,24553
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,24553.0,0.46238649617493666,0.3333333333333333,0.4855933687199526,152.48880265180142,106.68324307816198,0.006557858561480327,0.5163281343553618,0.98,0.99,47.182295528054766,33.67003367003367,WVS_Wave_2,24553
Region,['region'],Regional representativeness,24553.0,0.4931495101842589,0.45454545454545453,0.5674596675091024,2.044029159966371,12012.059554181678,0.4892298111913689,0.2697770377495694,0.98,0.99,50.3213785902305,45.91368227731864,WVS_Wave_2,24553
Continent,['continent'],Continental representativeness,24553.0,0.6465392012400962,0.8333333333333334,0.7596406616692086,1.645976290903267,14916.982787477446,0.6075421654167492,0.0058036576674343,0.995,1.0,64.97881419498455,83.33333333333334,WVS_Wave_2,24553
Religion,['religion'],Global religious representativeness,24553.0,0.7182127862393587,1.0,0.6423067152181049,2.4461035017434964,8731.846377218324,0.40881344525578545,0.0,0.999,1.0,71.8931717957316,100.0,WVS_Wave_2,24553
Environment,['environment'],Global urban/rural representativeness,24553.0,0.830562477850619,1.0,0.8042081784813937,1.5812878442565115,10287.817021479017,0.6323959319817444,0.0,0.999,1.0,83.13938717223414,100.0,WVS_Wave_2,24553
Age Group,['age_group'],Global age representativeness,24553.0,0.8401259133178214,0.8333333333333334,0.7962868410812567,1.021911392250808,22375.7168903231,0.9785584225628925,0.1333184770949109,0.999,1.0,84.09668801980193,83.33333333333334,WVS_Wave_2,24553
Gender,['gender'],Global gender representativeness,24553.0,0.9912564472816564,1.0,0.9907306556970349,1.0003059162607413,24545.49113513388,0.999694177295397,0.0,0.999,1.0,99.2248695977634,100.0,WVS_Wave_2,24553
Overall (Average),,,,0.5476416165713602,0.5712630733040783,0.5592009579447969,,,,,,,,,WVS_Wave_2,24553
