dimension,columns,description,n_samples,gri,diversity,sri,design_effect,effective_n,precision_retention,uncovered_population,max_gri,max_diversity,gri_pct_of_max,diversity_pct_of_max,survey,n_participants,n_countries_claimed
Country × Gender × Age,"['country', 'gender', 'age_group']",Fine-grained demographic representativeness,19205.0,0.4799124314221883,0.9928057553956835,0.6447520702812182,2.5079058343314102,5666.081957893082,0.398739054038922,0.04239891413059336,0.8728720823789424,0.9599740680713128,54.98084325417142,103.42005981373362,Latinobarometro_2023,19205,17
Country × Religion,"['country', 'religion']",Religious representativeness by country,19205.0,0.5160977892909665,0.96875,0.7276796008526085,3.19089454909725,5734.442087776535,0.3133917415988925,0.009966785726593855,0.9650464461761468,0.9894285714285715,53.47906220844886,97.91004909038405,Latinobarometro_2023,19205,17
Country × Environment,"['country', 'environment']",Urban/rural representativeness by country,19205.0,0.5085398244035096,1.0,0.6690554597198619,3.8068222052213114,5044.890190474105,0.26268628953262724,0.0,0.975817157862259,0.9921604938271604,52.11425319857845,100.79014496360357,Latinobarometro_2023,19205,17
Country,['country'],Country-level representativeness,19205.0,0.5285338023004498,1.0,0.7714025708402936,3.0370273617063193,6323.617706628066,0.32926934166248717,0.0,0.995,0.99,53.118975105572844,101.01010101010101,Latinobarometro_2023,19205,17
Region × Gender × Age,"['region', 'gender', 'age_group']",Regional demographic representativeness,19205.0,0.9296466336031136,1.0,0.8569798359582685,1.0382417931859982,18497.617921030345,0.9631667753725771,0.0,0.98,0.99,94.86190138807282,101.01010101010101,Latinobarometro_2023,19205,17
Region × Religion,"['region', 'religion']",Regional religious representativeness,19205.0,0.8736940812339826,0.5,0.7493136283709141,1.0906930527539358,17333.015876708836,0.9168482346844136,0.00844121962370024,0.98,0.99,89.15245726877374,50.505050505050505,Latinobarometro_2023,19205,17
Region × Environment,"['region', 'environment']",Regional urban/rural representativeness,19205.0,0.8952563878417754,1.0,0.7214083912714292,1.4501676977162996,13243.29595138805,0.6895754205356964,0.0,0.98,0.99,91.35269263691586,101.01010101010101,Latinobarometro_2023,19205,17
Region,['region'],Regional representativeness,19205.0,0.9415639243223419,1.0,0.8888179576989016,1.0179495000137926,18866.35830140865,0.9823670034578833,0.0,0.98,0.99,96.07795146146346,101.01010101010101,Latinobarometro_2023,19205,17
Continent,['continent'],Continental representativeness,19205.0,0.786847486008798,1.0,0.8305281549782,1.1938719062923404,16086.31537334904,0.8376107978833137,0.0,0.995,1.0,79.08014934761789,100.0,Latinobarometro_2023,19205,17
Religion,['religion'],Global religious representativeness,19205.0,0.8916900829466611,0.5714285714285714,0.8435685009411417,1.0758347493610985,17572.401348094616,0.9295107827608895,0.00264759513767129,0.999,1.0,89.25826656122734,57.14285714285714,Latinobarometro_2023,19205,17
Environment,['environment'],Global urban/rural representativeness,19205.0,0.9291791672765756,1.0,0.7909470435048633,1.050347628974158,18284.422671336848,0.9520657470105103,0.0,0.999,1.0,93.01092765531287,100.0,Latinobarometro_2023,19205,17
Age Group,['age_group'],Global age representativeness,19205.0,0.9686730230274965,1.0,0.9313618738111347,1.0088413043981421,19036.690821711923,0.9912361792091604,0.0,0.999,1.0,96.96426656931897,100.0,Latinobarometro_2023,19205,17
Gender,['gender'],Global gender representativeness,19205.0,0.9877567842861827,1.0,0.9812916062446267,1.0006011092988105,19193.46263113605,0.9993992518165088,0.0,0.999,1.0,98.87455298159988,100.0,Latinobarometro_2023,19205,17
Overall (Average),,,,0.7874916475356954,0.925614178986481,0.800546668805651,,,,,,,,,Latinobarometro_2023,19205,17
