religion,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
I do not identify with any religious group or faith,0.1632432221706735,234,0.2588495575221239,0.09560633535145041,0.09560633535145041,4.78031676757252,9.56063353514504,1.585668023947067,58.566802394706706,Religion,religion:I do not identify with any religious group or faith,Highly Over-represented
Islam,0.2318260894370174,155,0.17146017699115043,0.060365912445866976,-0.060365912445866976,3.0182956222933486,-6.036591244586697,0.7396069070894318,-26.039309291056824,Religion,religion:Islam,Under-represented
Other religious group,0.0673593303759717,11,0.012168141592920354,0.05519118878305134,-0.05519118878305134,2.759559439152567,-5.519118878305134,0.18064522798850377,-81.93547720114962,Religion,religion:Other religious group,Highly Under-represented
Christianity,0.3151210730492577,321,0.35508849557522126,0.03996742252596358,0.03996742252596358,1.9983711262981791,3.9967422525963583,1.1268319574416914,12.68319574416914,Religion,religion:Christianity,Over-represented
Buddhism,0.0709164234650534,31,0.034292035398230086,0.03662438806682332,-0.03662438806682332,1.831219403341166,-3.662438806682332,0.48355562396810253,-51.64443760318975,Religion,religion:Buddhism,Highly Under-represented
Judaism,0.00149573629682,20,0.022123893805309734,0.020628157508489734,0.020628157508489734,1.0314078754244866,2.0628157508489733,14.791306363525502,1379.1306363525503,Religion,religion:Judaism,Highly Over-represented
Hinduism,0.1500381252052061,129,0.1426991150442478,0.007339010160958309,-0.007339010160958309,0.36695050804791546,-0.7339010160958309,0.951085698045608,-4.891430195439195,Religion,religion:Hinduism,Under-represented
