age_group,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
26-35,0.1991315034227586,365.0,0.40376106194690264,0.20462955852414405,0.20462955852414405,10.231477926207203,20.462955852414407,2.0276101722072224,102.76101722072224,Age Group,age_group:26-35,Highly Over-represented
65+,0.1333184770949109,0.0,0.0,0.1333184770949109,-0.1333184770949109,6.665923854745545,-13.33184770949109,0.0,-100.0,Age Group,age_group:65+,Missing
56-65,0.1237897714798461,21.0,0.023230088495575223,0.10055968298427087,-0.10055968298427087,5.027984149213544,-10.055968298427088,0.18765757637219044,-81.23424236278096,Age Group,age_group:56-65,Highly Under-represented
18-25,0.207413801401541,262.0,0.28982300884955753,0.08240920744801652,0.08240920744801652,4.120460372400826,8.240920744801652,1.3973178587497999,39.731785874979984,Age Group,age_group:18-25,Over-represented
46-55,0.1541607796624249,79.0,0.08738938053097345,0.06677139913145144,-0.06677139913145144,3.338569956572572,-6.677139913145144,0.5668716824236049,-43.312831757639515,Age Group,age_group:46-55,Under-represented
36-45,0.1821856669385182,168.0,0.18584070796460178,0.0036550410260835775,0.0036550410260835775,0.18275205130417888,0.36550410260835775,1.0200621766108364,2.0062176610836424,Age Group,age_group:36-45,Over-represented
