country,gender,age_group,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category,religion,environment,region,continent
,,,0.4471428942016761,75.0,0.08296460176991151,0.3641782924317646,-0.3641782924317646,18.208914621588228,-36.417829243176456,0.18554382244636936,-81.44561775536306,Environment,environment:Rural,Highly Under-represented,,Rural,,
,,,0.5528571057983239,829.0,0.9170353982300885,0.3641782924317646,0.3641782924317646,18.208914621588228,36.417829243176456,1.658720469742163,65.87204697421629,Environment,environment:Urban,Highly Over-represented,,Urban,,
,,26-35,0.1991315034227586,365.0,0.40376106194690264,0.20462955852414405,0.20462955852414405,10.231477926207203,20.462955852414407,2.0276101722072224,102.76101722072224,Age Group,age_group:26-35,Highly Over-represented,,,,
China,,,0.1955788625615539,35.0,0.03871681415929203,0.15686204840226187,-0.15686204840226187,7.843102420113094,-15.686204840226187,0.19796011517914833,-80.20398848208517,Country,country:China,Highly Under-represented,,,,
,,,0.2297751323710622,68.0,0.0752212389380531,0.1545538934330091,-0.1545538934330091,7.727694671650455,-15.45538934330091,0.32736892875151896,-67.2631071248481,Region,region:Eastern Asia,Highly Under-represented,,,Eastern Asia,
,,,0.606632464353269,418.0,0.46238938053097345,0.14424308382229556,-0.14424308382229556,7.212154191114778,-14.424308382229556,0.7622232697749318,-23.777673022506818,Continent,continent:Asia,Under-represented,,,,Asia
,,,0.0805561211080706,201.0,0.22234513274336284,0.14178901163529223,0.14178901163529223,7.089450581764611,14.178901163529222,2.7601270975432675,176.01270975432675,Region × Environment,region:Southern Asia × environment:Urban,Highly Over-represented,,Urban,Southern Asia,
,,,0.1565096491993479,19.0,0.02101769911504425,0.13549195008430365,-0.13549195008430365,6.7745975042151825,-13.549195008430365,0.1342901170794511,-86.57098829205489,Region × Environment,region:Southern Asia × environment:Rural,Highly Under-represented,,Rural,Southern Asia,
India,,,0.0603695647673797,177.0,0.19579646017699115,0.13542689540961145,0.13542689540961145,6.771344770480573,13.542689540961145,3.243297528008492,224.3297528008492,Country × Environment,country:India × environment:Urban,Highly Over-represented,,Urban,,
Kenya,,,0.0057055867148307,127.0,0.1404867256637168,0.1347811389488861,0.1347811389488861,6.739056947444305,13.47811389488861,24.6226606807229,2362.2660680722897,Country,country:Kenya,Highly Over-represented,,,,
,,65+,0.1333184770949109,0.0,0.0,0.1333184770949109,-0.1333184770949109,6.665923854745545,-13.33184770949109,0.0,-100.0,Age Group,age_group:65+,Missing,,,,
Kenya,,,0.0018043527192507,121.0,0.1338495575221239,0.1320452048028732,0.1320452048028732,6.602260240143661,13.204520480287322,74.18148131131927,7318.148131131928,Country × Environment,country:Kenya × environment:Urban,Highly Over-represented,,Urban,,
Kenya,,,0.0049823498169793,118.0,0.13053097345132744,0.12554862363434816,0.12554862363434816,6.277431181717407,12.554862363434815,26.198676978981332,2519.8676978981334,Country × Religion,country:Kenya × religion:Christianity,Highly Over-represented,Christianity,,,
,,,0.0158944713070971,127.0,0.1404867256637168,0.1245922543566197,0.1245922543566197,6.229612717830985,12.45922543566197,8.838716491374427,783.8716491374428,Region × Environment,region:Eastern Africa × environment:Urban,Highly Over-represented,,Urban,Eastern Africa,
,,,0.034520165357053,124.0,0.13716814159292035,0.10264797623586736,0.10264797623586736,5.132398811793368,10.264797623586736,3.973565600690114,297.3565600690114,Region × Religion,region:Eastern Africa × religion:Christianity,Highly Over-represented,Christianity,,Eastern Africa,
,,56-65,0.1237897714798461,21.0,0.023230088495575223,0.10055968298427087,-0.10055968298427087,5.027984149213544,-10.055968298427088,0.18765757637219044,-81.23424236278096,Age Group,age_group:56-65,Highly Under-represented,,,,
India,,,0.1170329481724181,15.0,0.016592920353982302,0.1004400278184358,-0.1004400278184358,5.02200139092179,-10.04400278184358,0.1417799056855073,-85.82200943144926,Country × Environment,country:India × environment:Rural,Highly Under-represented,,Rural,,
,,,0.0474524957491598,133.0,0.14712389380530974,0.09967139805614994,0.09967139805614994,4.983569902807497,9.967139805614995,3.100445856062581,210.0445856062581,Region,region:Eastern Africa,Highly Over-represented,,,Eastern Africa,
,,,0.1632432221706735,234.0,0.2588495575221239,0.09560633535145041,0.09560633535145041,4.78031676757252,9.56063353514504,1.585668023947067,58.566802394706706,Religion,religion:I do not identify with any religious group or faith,Highly Over-represented,I do not identify with any religious group or faith,,,
,,18-25,0.207413801401541,262.0,0.28982300884955753,0.08240920744801652,0.08240920744801652,4.120460372400826,8.240920744801652,1.3973178587497999,39.731785874979984,Age Group,age_group:18-25,Over-represented,,,,
,,,0.0804560248636974,5.0,0.0055309734513274336,0.07492505141236998,-0.07492505141236998,3.746252570618499,-7.492505141236998,0.06874529857394267,-93.12547014260574,Region × Environment,region:Eastern Asia × environment:Rural,Highly Under-represented,,Rural,Eastern Asia,
China,,,0.0757304077978642,2.0,0.0022123893805309734,0.07351801841733323,-0.07351801841733323,3.6759009208666615,-7.351801841733323,0.02921401646794471,-97.07859835320552,Country × Environment,country:China × environment:Rural,Highly Under-represented,,Rural,,
China,,,0.1096632966724287,33.0,0.03650442477876106,0.07315887189366764,-0.07315887189366764,3.657943594683382,-7.315887189366764,0.3328773243777462,-66.71226756222538,Country × Environment,country:China × environment:Urban,Highly Under-represented,,Urban,,
,,,0.1189299435913116,44.0,0.048672566371681415,0.07025737721963018,-0.07025737721963018,3.5128688609815093,-7.025737721963019,0.4092540944855639,-59.07459055144362,Region × Religion,region:Eastern Asia × religion:I do not identify with any religious group or faith,Highly Under-represented,I do not identify with any religious group or faith,,Eastern Asia,
,,46-55,0.1541607796624249,79.0,0.08738938053097345,0.06677139913145144,-0.06677139913145144,3.338569956572572,-6.677139913145144,0.5668716824236049,-43.312831757639515,Age Group,age_group:46-55,Under-represented,,,,
,,,0.1362292853835638,63.0,0.06969026548672566,0.06653901989683814,-0.06653901989683814,3.3269509948419067,-6.653901989683813,0.5115659624177539,-48.84340375822461,Region × Environment,region:Eastern Asia × environment:Urban,Under-represented,,Urban,Eastern Asia,
China,,,0.1015513029635914,32.0,0.035398230088495575,0.06615307287509582,-0.06615307287509582,3.307653643754791,-6.615307287509582,0.3485748489232747,-65.14251510767252,Country × Religion,country:China × religion:I do not identify with any religious group or faith,Highly Under-represented,I do not identify with any religious group or faith,,,
,,,0.2318260894370174,155.0,0.17146017699115043,0.060365912445866976,-0.060365912445866976,3.0182956222933486,-6.036591244586697,0.7396069070894318,-26.039309291056824,Religion,religion:Islam,Under-represented,Islam,,,
,,,0.0673593303759717,11.0,0.012168141592920354,0.05519118878305134,-0.05519118878305134,2.759559439152567,-5.519118878305134,0.18064522798850377,-81.93547720114962,Religion,religion:Other religious group,Highly Under-represented,Other religious group,,,
,,,0.0391720887649302,79.0,0.08738938053097345,0.048217291766043245,0.048217291766043245,2.410864588302162,4.821729176604324,2.230909386920694,123.09093869206941,Region × Environment,region:Northern America × environment:Urban,Highly Over-represented,,Urban,Northern America,
