country,religion,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Kenya,Christianity,0.0049823498169793,118.0,0.13053097345132744,0.12554862363434816,0.12554862363434816,6.277431181717407,12.554862363434815,26.198676978981332,2519.8676978981334,Country × Religion,country:Kenya × religion:Christianity,Highly Over-represented
China,I do not identify with any religious group or faith,0.1015513029635914,32.0,0.035398230088495575,0.06615307287509582,-0.06615307287509582,3.307653643754791,-6.615307287509582,0.3485748489232747,-65.14251510767252,Country × Religion,country:China × religion:I do not identify with any religious group or faith,Highly Under-represented
China,Other religious group,0.0439666560723595,0.0,0.0,0.0439666560723595,-0.0439666560723595,2.198332803617975,-4.39666560723595,0.0,-100.0,Country × Religion,country:China × religion:Other religious group,Missing
United States,Christianity,0.0352477672482437,0.0,0.0,0.0352477672482437,-0.0352477672482437,1.7623883624121852,-3.5247767248243704,0.0,-100.0,Country × Religion,country:United States × religion:Christianity,Missing
China,Buddhism,0.0354067761290682,2.0,0.0022123893805309734,0.033194386748537225,-0.033194386748537225,1.6597193374268613,-3.3194386748537226,0.062484914539131096,-93.7515085460869,Country × Religion,country:China × religion:Buddhism,Highly Under-represented
Chile,I do not identify with any religious group or faith,0.000213414823666,19.0,0.02101769911504425,0.02080428429137825,0.02080428429137825,1.0402142145689126,2.080428429137825,98.48284553999642,9748.284553999642,Country × Religion,country:Chile × religion:I do not identify with any religious group or faith,Highly Over-represented
Israel,Judaism,0.0008135829187686,17.0,0.018805309734513276,0.017991726815744676,0.017991726815744676,0.8995863407872338,1.7991726815744675,23.11418947066402,2211.418947066402,Country × Religion,country:Israel × religion:Judaism,Highly Over-represented
India,Christianity,0.0044403165429185,19.0,0.02101769911504425,0.01657738257212575,0.01657738257212575,0.8288691286062876,1.6577382572125752,4.733378558013769,373.33785580137686,Country × Religion,country:India × religion:Christianity,Highly Over-represented
Russia,Christianity,0.015198286789464,0.0,0.0,0.015198286789464,-0.015198286789464,0.7599143394732,-1.5198286789464,0.0,-100.0,Country × Religion,country:Russia × religion:Christianity,Missing
Egypt,Islam,0.0111652968891487,21.0,0.023230088495575223,0.012064791606426522,0.012064791606426522,0.6032395803213261,1.2064791606426521,2.080561647953313,108.05616479533131,Country × Religion,country:Egypt × religion:Islam,Highly Over-represented
Nigeria,Christianity,0.011327473358456,0.0,0.0,0.011327473358456,-0.011327473358456,0.5663736679228,-1.1327473358456,0.0,-100.0,Country × Religion,country:Nigeria × religion:Christianity,Missing
Nigeria,Islam,0.0112125902615143,0.0,0.0,0.0112125902615143,-0.0112125902615143,0.560629513075715,-1.12125902615143,0.0,-100.0,Country × Religion,country:Nigeria × religion:Islam,Missing
Canada,I do not identify with any religious group or faith,0.0011693883866129,11.0,0.012168141592920354,0.010998753206307454,0.010998753206307454,0.5499376603153727,1.0998753206307454,10.405560489757407,940.5560489757407,Country × Religion,country:Canada × religion:I do not identify with any religious group or faith,Highly Over-represented
Iran,Islam,0.0106746789134919,0.0,0.0,0.0106746789134919,-0.0106746789134919,0.533733945674595,-1.06746789134919,0.0,-100.0,Country × Religion,country:Iran × religion:Islam,Missing
Bangladesh,Islam,0.0193657454620284,8.0,0.008849557522123894,0.010516187939904505,-0.010516187939904505,0.5258093969952252,-1.0516187939904504,0.4569696291565828,-54.303037084341724,Country × Religion,country:Bangladesh × religion:Islam,Highly Under-represented
Turkey,Islam,0.0103403489413732,0.0,0.0,0.0103403489413732,-0.0103403489413732,0.51701744706866,-1.03403489413732,0.0,-100.0,Country × Religion,country:Turkey × religion:Islam,Missing
United Kingdom,I do not identify with any religious group or faith,0.0019165824797356,11.0,0.012168141592920354,0.010251559113184754,0.010251559113184754,0.5125779556592377,1.0251559113184754,6.348874479223558,534.8874479223558,Country × Religion,country:United Kingdom × religion:I do not identify with any religious group or faith,Highly Over-represented
Chile,Christianity,0.0022185215390403,11.0,0.012168141592920354,0.009949620053880054,0.009949620053880054,0.4974810026940027,0.9949620053880054,5.484797591004734,448.4797591004734,Country × Religion,country:Chile × religion:Christianity,Highly Over-represented
India,I do not identify with any religious group or faith,8.880633085837056e-05,9.0,0.00995575221238938,0.00986694588153101,0.00986694588153101,0.4933472940765505,0.986694588153101,112.10633426874642,11110.633426874643,Country × Religion,country:India × religion:I do not identify with any religious group or faith,Highly Over-represented
