continent,population_proportion,sample_count,sample_proportion,absolute_deviation,signed_deviation,gri_contribution_points,deviation_percentage_points,representation_ratio,over_under_representation_pct,dimension,stratum_id,representation_category
Asia,0.606632464353269,418,0.46238938053097345,0.14424308382229556,-0.14424308382229556,7.212154191114778,-14.424308382229556,0.7622232697749318,-23.777673022506818,Continent,continent:Asia,Under-represented
Africa,0.1478168252174538,177,0.19579646017699115,0.04797963495953736,0.04797963495953736,2.398981747976868,4.797963495953736,1.3245884552651863,32.45884552651863,Continent,continent:Africa,Over-represented
Europe,0.1038342281140247,128,0.1415929203539823,0.037758692239957606,0.037758692239957606,1.8879346119978804,3.7758692239957607,1.3636439825843671,36.364398258436715,Continent,continent:Europe,Over-represented
North America,0.0799242002190196,102,0.11283185840707964,0.032907658188060046,0.032907658188060046,1.6453829094030024,3.2907658188060047,1.4117358459375486,41.17358459375487,Continent,continent:North America,Over-represented
South America,0.0559886244287985,70,0.07743362831858407,0.02144500388978557,0.02144500388978557,1.0722501944892784,2.1445003889785568,1.3830243037504426,38.30243037504426,Continent,continent:South America,Over-represented
Oceania,0.0058036576674343,9,0.00995575221238938,0.0041520945449550805,0.0041520945449550805,0.20760472724775403,0.41520945449550806,1.7154271983086578,71.54271983086578,Continent,continent:Oceania,Highly Over-represented
