stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Male,50.5,0.028659129117410174,1262,1246,-16,-1.2678288431061806
Female,49.5,0.03021978937543362,1237,1254,17,1.3742926434923202
