stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.034349010626852895,310,333,23,7.419354838709677
Islam,24.0,0.02266185176257808,240,210,-30,-12.5
I do not identify with any religious group or faith,16.0,0.033012694990209236,160,169,9,5.625
Hinduism,15.0,0.025304240374209676,150,138,-12,-8.0
Buddhism,7.000000000000001,0.03614250761241501,70,77,7,10.0
Other religious group,6.0,0.04066887534559948,60,70,10,16.666666666666664
Judaism,0.2,0.06587714058144166,2,3,1,50.0
