stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.03107796977557555,220,185,-35,-15.909090909090908
36-45,20.0,0.035733507065970234,200,181,-19,-9.5
18-25,18.0,0.03346421940784696,180,158,-22,-12.222222222222221
46-55,17.0,0.047897828674296136,170,178,8,4.705882352941177
56-65,13.0,0.06458575146846753,130,158,28,21.53846153846154
65+,10.0,0.08498677248677249,100,140,40,40.0
