stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.034349010626852895,1550,1665,115,7.419354838709677
Islam,24.0,0.02266185176257808,1200,1048,-152,-12.666666666666668
I do not identify with any religious group or faith,16.0,0.033012694990209236,800,843,43,5.375
Hinduism,15.0,0.025304240374209676,750,692,-58,-7.733333333333333
Buddhism,7.000000000000001,0.03614250761241501,350,386,36,10.285714285714285
Other religious group,6.0,0.04066887534559948,300,351,51,17.0
Judaism,0.2,0.06587714058144166,10,15,5,50.0
