stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.06845458158429285,1550,1602,52,3.354838709677419
Islam,24.0,0.06269739008354269,1200,1188,-12,-1.0
I do not identify with any religious group or faith,16.0,0.06461859581881856,800,804,4,0.5
Hinduism,15.0,0.05915231477977174,750,721,-29,-3.8666666666666667
Buddhism,7.000000000000001,0.06296570727505096,350,347,-3,-0.8571428571428572
Other religious group,6.0,0.07610810260287815,300,327,27,9.0
Judaism,0.2,0.07444111043182251,10,11,1,10.0
