stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Urban,56.00000000000001,0.06458423636279467,560,551,-9,-1.607142857142857
Rural,44.0,0.06940255589891446,440,449,9,2.0454545454545454
