stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.06845458158429285,775,801,26,3.354838709677419
Islam,24.0,0.06269739008354269,600,594,-6,-1.0
I do not identify with any religious group or faith,16.0,0.06461859581881856,400,402,2,0.5
Hinduism,15.0,0.05915231477977174,375,360,-15,-4.0
Buddhism,7.000000000000001,0.06296570727505096,175,174,-1,-0.5714285714285714
Other religious group,6.0,0.07610810260287815,150,164,14,9.333333333333334
Judaism,0.2,0.07444111043182251,5,5,0,0.0
