stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Urban,56.00000000000001,0.06458423636279467,1400,1378,-22,-1.5714285714285716
Rural,44.0,0.06940255589891446,1100,1122,22,2.0
