stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.06475514803820173,2200,2125,-75,-3.4090909090909087
36-45,20.0,0.06842781455590123,2000,1985,-15,-0.75
18-25,18.0,0.06301851952460016,1800,1715,-85,-4.722222222222222
46-55,17.0,0.07210079163339894,1700,1732,32,1.8823529411764703
56-65,13.0,0.07694499760740729,1300,1368,68,5.230769230769231
65+,10.0,0.08021810365560367,1000,1075,75,7.5
