stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Male,50.5,0.032893267370356284,1262,1233,-29,-2.2979397781299524
Female,49.5,0.03615911753918728,1237,1267,30,2.4252223120452707
