stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.03107796977557555,550,465,-85,-15.454545454545453
36-45,20.0,0.035733507065970234,500,452,-48,-9.6
18-25,18.0,0.03346421940784696,450,394,-56,-12.444444444444445
46-55,17.0,0.047897828674296136,425,445,20,4.705882352941177
56-65,13.0,0.06458575146846753,325,395,70,21.53846153846154
65+,10.0,0.08498677248677249,250,349,99,39.6
