stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.06475514803820173,220,213,-7,-3.1818181818181817
36-45,20.0,0.06842781455590123,200,199,-1,-0.5
18-25,18.0,0.06301851952460016,180,171,-9,-5.0
46-55,17.0,0.07210079163339894,170,173,3,1.7647058823529411
56-65,13.0,0.07694499760740729,130,137,7,5.384615384615385
65+,10.0,0.08021810365560367,100,107,7,7.000000000000001
