stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.06845458158429285,310,321,11,3.5483870967741935
Islam,24.0,0.06269739008354269,240,238,-2,-0.8333333333333334
I do not identify with any religious group or faith,16.0,0.06461859581881856,160,161,1,0.625
Hinduism,15.0,0.05915231477977174,150,144,-6,-4.0
Buddhism,7.000000000000001,0.06296570727505096,70,69,-1,-1.4285714285714286
Other religious group,6.0,0.07610810260287815,60,65,5,8.333333333333332
Judaism,0.2,0.07444111043182251,2,2,0,0.0
