stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.02874516441903638,220,186,-34,-15.454545454545453
36-45,20.0,0.03746742118778193,200,193,-7,-3.5000000000000004
18-25,18.0,0.026911774110671537,180,147,-33,-18.333333333333332
46-55,17.0,0.030216346157536846,170,147,-23,-13.529411764705882
56-65,13.0,0.042641104189020854,130,134,4,3.076923076923077
65+,10.0,0.15010141093474427,100,193,93,93.0
