stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
Christianity,31.0,0.06845458158429285,3100,3206,106,3.4193548387096775
Islam,24.0,0.06269739008354269,2400,2375,-25,-1.0416666666666665
I do not identify with any religious group or faith,16.0,0.06461859581881856,1600,1607,7,0.43750000000000006
Hinduism,15.0,0.05915231477977174,1500,1442,-58,-3.8666666666666667
Buddhism,7.000000000000001,0.06296570727505096,700,694,-6,-0.8571428571428572
Other religious group,6.0,0.07610810260287815,600,654,54,9.0
Judaism,0.2,0.07444111043182251,20,22,2,10.0
