stratum,population_pct,variance,proportional_n,optimal_n,difference,pct_change
26-35,22.0,0.02874516441903638,1100,929,-171,-15.545454545454545
36-45,20.0,0.03746742118778193,1000,965,-35,-3.5000000000000004
18-25,18.0,0.026911774110671537,900,736,-164,-18.22222222222222
46-55,17.0,0.030216346157536846,850,736,-114,-13.411764705882353
56-65,13.0,0.042641104189020854,650,669,19,2.923076923076923
65+,10.0,0.15010141093474427,500,965,465,93.0
