Dimension,GRI Score,Diversity Score
Country × Gender × Age,0.26127770595067257,0.33532934131736525
Country × Religion,0.06805819557879489,0.11904761904761904
Country × Environment,0.0899105063548693,0.09900990099009901
AVERAGE,0.13974880262811226,0.1844622871183611
