stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Female,26,0.03615911753918728,0.0,0.0499839216499865,0.0,0.1831535968627816,0.9638408824608127,Gender
Male,26,0.032893267370356284,0.0,0.047035867211963386,0.0,0.16703049116146026,0.9671067326296438,Gender
Non-binary,27,0.060322359396433475,0.0,0.08357293086058207,0.0,0.23333333333333334,0.9396776406035665,Gender
Other / prefer not to say,27,0.08864883401920437,0.0,0.13079073919340908,0.0,0.5,0.9113511659807956,Gender
