stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Canada,30,0.029494225408203904,0.0,0.04866435781673375,0.0,0.1479091995221028,0.9705057745917961,Country
United Kingdom,30,0.03733832699489499,0.0,0.06414806423154187,0.0,0.2414431082331176,0.962661673005105,Country
United States,30,0.034355228076276584,0.0,0.051048929663737974,0.0,0.15942879499217527,0.9656447719237234,Country
Germany,30,0.04136710239651417,0.0,0.07439860366021002,0.0,0.26143790849673204,0.9586328976034858,Country
South Africa,30,0.03950617283950617,0.0,0.06326066410647371,0.0,0.25641025641025644,0.9604938271604938,Country
Poland,30,0.051719576719576714,0.0,0.0730831627431983,0.0,0.21428571428571427,0.9482804232804233,Country
Chile,30,0.026612161807197266,0.0,0.04293580189980943,0.0,0.1442080378250591,0.9733878381928027,Country
Mexico,30,0.06464280486019618,0.04990118577075099,0.06601695100449732,0.0,0.17292490118577075,0.9353571951398039,Country
Egypt,30,0.03956228956228956,0.0,0.06103932302012517,0.0,0.21818181818181817,0.9604377104377104,Country
Denmark,30,0.1173611111111111,0.0,0.12881710465080823,0.0,0.3333333333333333,0.8826388888888889,Country
India,30,0.02177872830295903,0.0,0.03869575860356194,0.0,0.15608514292724823,0.978221271697041,Country
Algeria,30,0.037797619047619045,0.0,0.07870096645011042,0.0,0.26785714285714285,0.962202380952381,Country
France,30,0.05227920227920226,0.0,0.06787512614096516,0.0,0.25641025641025644,0.9477207977207978,Country
Morocco,30,0.03070987654320988,0.0,0.07180130645459892,0.0,0.2692307692307693,0.9692901234567901,Country
Pakistan,30,0.07582345191040844,0.0825098814229249,0.07019553600221232,0.0,0.19664031620553366,0.9241765480895916,Country
Kenya,30,0.030417593824385063,0.0,0.058591664546385876,0.0,0.2513482280431433,0.969582406175615,Country
Russian Federation,30,0.051234567901234575,0.0,0.0942425017646008,0.0,0.30000000000000004,0.9487654320987654,Country
Indonesia,30,0.03473453177257525,0.0,0.06129520289867596,0.0,0.25384615384615383,0.9652654682274248,Country
Croatia,20,0.125,0.0,0.21650635094610965,0.0,0.5,0.875,Country
Finland,17,0.09558823529411764,0.0,0.1894720400988989,0.0,0.5,0.9044117647058824,Country
Spain,30,0.056299603174603176,0.0,0.08736317028139166,0.0,0.2857142857142857,0.9437003968253969,Country
Ireland {Republic},28,0.11011904761904764,0.0,0.15438943273027306,0.0,0.33333333333333337,0.8898809523809523,Country
Italy,30,0.040743708452041776,0.0,0.0611937658271626,0.0,0.23076923076923075,0.9592562915479582,Country
Israel,30,0.06309626348386038,0.04657315122431402,0.06822520580720172,0.0,0.19296788482834998,0.9369037365161397,Country
Netherlands,30,0.07833333333333335,0.0,0.10834615308763339,0.0,0.3,0.9216666666666666,Country
Sweden,30,0.08333333333333333,0.0,0.14907119849998599,0.0,0.5,0.9166666666666666,Country
Australia,30,0.04521901709401709,0.0,0.07452694065627981,0.0,0.25,0.9547809829059829,Country
Brazil,30,0.03889868573692103,0.0,0.060421483900566855,0.0,0.25546218487394967,0.961101314263079,Country
Belgium,30,0.09444444444444446,0.0,0.1406554322352463,0.0,0.33333333333333337,0.9055555555555556,Country
Slovakia,30,0.06284511784511784,0.0,0.09479872722074968,0.0,0.2727272727272727,0.9371548821548822,Country
Turkey,30,0.07911522633744858,0.0,0.0948254550428312,0.0,0.2666666666666667,0.9208847736625514,Country
Ukraine,30,0.07407407407407408,0.0,0.09441266713041022,0.0,0.30000000000000004,0.9259259259259259,Country
Portugal,18,0.3402777777777778,0.5,0.22747693547443334,0.0,0.5,0.6597222222222222,Country
Kazakhstan,30,0.044834307992202733,0.0,0.06452189094293855,0.0,0.26315789473684215,0.9551656920077972,Country
China,30,0.033847474903210335,0.0,0.05062837060088943,0.0,0.14955288313290166,0.9661525250967896,Country
Japan,30,0.040705128205128206,0.0,0.07602002480986242,0.0,0.26373626373626374,0.9592948717948718,Country
Switzerland,30,0.09722222222222224,0.0,0.14920054446661982,0.0,0.33333333333333337,0.9027777777777778,Country
United Arab Emirates,30,0.05,0.0,0.11303883305208781,0.0,0.33333333333333337,0.95,Country
New Zealand,20,0.075,0.0,0.17853571071357124,0.0,0.5,0.925,Country
Philippines,30,0.042912064110894516,0.0,0.06885646754638743,0.0,0.2573099415204678,0.9570879358891055,Country
Korea South,28,0.05917366946778711,0.0,0.07639516620884299,0.0,0.25735294117647056,0.9408263305322129,Country
Bangladesh,30,0.030104166666666664,0.0,0.061355463578068,0.0,0.2625,0.9698958333333333,Country
Malaysia,30,0.05105820105820105,0.0,0.08313475401929932,0.0,0.28571428571428564,0.948941798941799,Country
Saudi Arabia,30,0.15277777777777776,0.25,0.1412302646542907,0.0,0.33333333333333337,0.8472222222222222,Country
Malawi,30,0.022023809523809522,0.0,0.05270798882681638,0.0,0.21428571428571427,0.9779761904761904,Country
Vietnam,30,0.045585317460317465,0.0,0.086184127686662,0.0,0.26785714285714285,0.9544146825396825,Country
Singapore,30,0.046384479717813044,0.0,0.08377373990376319,0.0,0.2857142857142857,0.953615520282187,Country
