stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Female,65,0.06553709809535219,0.06567843659782367,0.0545969345865162,0.0,0.24299753110325795,0.9344629019046478,Gender
Male,65,0.06393076892843508,0.059910835403343736,0.055908174089215196,0.0,0.24777825771291498,0.9360692310715649,Gender
Non-binary,66,0.08646176905105477,0.0818452380952381,0.060800188546101315,0.0,0.2380952380952381,0.9135382309489453,Gender
Other / prefer not to say,66,0.08742183742183741,0.07142857142857142,0.08030247636366476,0.0,0.2857142857142857,0.9125781625781626,Gender
