stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
North America,27,0.05074224672772557,0.0,0.058663956979169575,0.0,0.18429857153163548,0.9492577532722745,Continent
Asia,27,0.03048683716289188,0.0,0.04598802535023851,0.0,0.1763317896219261,0.9695131628371081,Continent
Africa,27,0.025930922217034715,0.0,0.04288283648390319,0.0,0.15606608626701637,0.9740690777829653,Continent
South America,27,0.03941427730282105,0.0,0.055229908170013095,0.0,0.17254901960784308,0.9605857226971789,Continent
Europe,27,0.03409114634490332,0.0,0.050687237179233326,0.0,0.1425381930277891,0.9659088536550967,Continent
Oceania,27,0.0787659735759151,0.0,0.10079884921162165,0.0,0.2605263157894737,0.9212340264240849,Continent
