stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
Male,29,0.028659129117410174,0.0,0.04556601628581528,0.0,0.1763906067477496,0.9713408708825898,Gender
Female,29,0.03021978937543362,0.0,0.047233270551870474,0.0,0.16171746968207143,0.9697802106245664,Gender
Non-binary,30,0.07262500000000001,0.0,0.09290808154193977,0.0,0.2777777777777778,0.927375,Gender
Other / prefer not to say,30,0.06500000000000002,0.0,0.096234666888347,0.0,0.2666666666666667,0.9349999999999999,Gender
