stratum,n_questions,mean_variance,median_variance,std_variance,min_variance,max_variance,consensus_score,dimension
North America,30,0.03513165483944136,0.0,0.04941123877555071,0.0,0.16307683761752004,0.9648683451605586,Continent
Europe,30,0.03609300495678591,0.0,0.05025245716573275,0.0,0.15979322881163371,0.9639069950432141,Continent
Africa,30,0.03309763441793674,0.0,0.05792119397512662,0.0,0.2510638297872341,0.9669023655820632,Continent
South America,30,0.02852430593253667,0.0,0.047134124630012465,0.0,0.16943521594684385,0.9714756940674634,Continent
Asia,30,0.02826926970485624,0.0,0.043216498597084124,0.0,0.1597029799960816,0.9717307302951438,Continent
Oceania,30,0.04367343780946722,0.0,0.07004257681143655,0.0,0.2545454545454545,0.9563265621905328,Continent
