Column,Age,Country Code,Sex,Religion,,
Meaning,Years,,"1=Male
2=Female","0=No denomination
1=Roman Catholic
2=Protestant
3=Orthodox
4=Jew
5=Muslim
6=Hindu
7=Buddhist
8=Other","1=Urban
2=Rural",
D_INTERVIEW,Q262,Q266,Q260,Q289,H_URBRURAL,ISO3_Code
20070172,68,250,1,1,1,FRA
20070173,33,858,2,1,1,URY
20070174,47,20,1,1,1,AND
20070175,58,620,2,1,1,PRT
20070176,46,724,2,1,1,ESP
20070177,58,620,1,1,1,PRT
20070178,41,724,2,1,1,ESP
20070179,56,620,1,1,1,PRT
20070180,30,724,2,1,1,ESP
20070181,62,380,2,1,1,ITA
20070182,41,20,1,1,1,AND
20070183,39,20,2,9,1,AND
20070184,47,724,1,1,1,ESP
20070185,71,724,1,0,1,ESP
20070186,79,724,2,1,1,ESP
20070187,34,20,1,0,1,AND
20070188,50,20,1,1,1,AND
20070189,62,20,2,1,1,AND
20070190,60,20,1,0,1,AND
20070191,90,554,2,2,1,NZL
20070192,44,20,1,1,1,AND
20070193,50,724,2,1,2,ESP
20070194,34,620,2,1,1,PRT
20070195,69,724,2,1,1,ESP
20070196,30,20,1,0,1,AND
20070197,33,620,1,1,2,PRT
20070198,65,724,2,1,2,ESP
20070199,61,724,1,1,2,ESP
20070200,59,20,2,1,2,AND
20070201,33,20,1,1,1,AND
20070202,50,724,1,0,2,ESP
20070203,39,724,2,1,2,ESP
20070204,48,620,2,1,2,PRT
20070205,36,620,1,1,1,PRT
20070206,71,724,1,0,1,ESP
20070207,47,724,1,1,2,ESP
20070208,39,724,2,1,2,ESP
20070209,65,724,1,0,1,ESP
20070210,39,724,1,1,1,ESP
20070211,42,250,2,1,1,FRA
20070212,39,20,1,1,1,AND
20070213,43,250,1,0,1,FRA
20070214,40,608,2,1,1,PHL
20070215,23,20,1,5,1,AND
20070216,20,250,1,1,1,FRA
20070217,59,250,1,1,1,FRA
20070218,65,504,1,1,1,MAR
20070219,37,724,2,1,1,ESP
20070220,53,152,2,1,1,CHL
20070221,56,20,2,1,1,AND
20070222,39,250,2,9,1,FRA
20070223,74,724,1,1,1,ESP
20070224,69,724,1,1,1,ESP
20070225,58,20,1,0,1,AND
20070226,78,724,2,1,1,ESP
20070227,41,724,2,0,1,ESP
20070228,66,724,2,0,1,ESP
20070229,47,20,1,1,1,AND
20070230,24,20,1,0,1,AND
20070231,64,620,1,1,1,PRT
20070232,32,620,2,1,1,PRT
20070233,68,724,2,1,1,ESP
20070234,26,620,2,5,1,PRT
20070235,59,504,1,5,1,MAR
20070236,34,620,2,1,1,PRT
20070237,73,724,2,1,1,ESP
20070238,70,724,1,0,1,ESP
20070239,51,724,2,7,1,ESP
20070240,63,724,2,1,1,ESP
20070241,49,250,1,0,2,FRA
20070242,25,20,2,0,1,AND
20070243,66,724,2,1,1,ESP
20070244,49,-2,1,0,1,
20070245,53,20,2,1,1,AND
20070246,77,724,1,0,1,ESP
20070247,46,724,1,1,1,ESP
20070248,67,724,2,1,1,ESP
20070249,40,20,2,1,1,AND
20070250,31,20,2,1,1,AND
20070251,22,620,2,1,1,PRT
20070252,45,214,2,1,1,DOM
20070253,33,724,2,1,1,ESP
20070254,55,724,2,1,1,ESP
20070255,62,724,2,1,1,ESP
20070256,41,20,2,1,1,AND
20070257,27,32,1,0,2,ARG
20070258,24,724,2,1,2,ESP
20070259,67,724,1,1,2,ESP
20070260,41,620,2,1,2,PRT
20070261,24,620,1,1,2,PRT
20070262,46,24,2,0,1,AGO
20070263,37,724,1,1,1,ESP
20070264,52,724,1,1,1,ESP
20070265,51,724,1,1,1,ESP
20070266,24,724,2,0,1,ESP
20070267,26,620,2,0,1,PRT
20070268,21,620,2,1,1,PRT
20070269,44,620,2,1,1,PRT
20070270,28,20,1,0,1,AND
20070271,70,724,2,1,1,ESP
20070272,49,68,1,1,1,BOL
20070273,59,20,1,1,1,AND
20070274,37,20,1,0,1,AND
20070275,18,20,2,0,1,AND
20070276,62,724,1,1,1,ESP
20070277,49,620,2,1,1,PRT
20070278,61,620,2,1,1,PRT
20070279,58,724,1,1,1,ESP
20070280,42,20,1,1,1,AND
20070281,47,724,2,1,1,ESP
20070282,57,20,1,1,1,AND
20070283,41,724,2,1,1,ESP
20070284,47,724,1,0,1,ESP
20070285,37,724,1,0,1,ESP
20070286,41,724,1,1,1,ESP
20070287,28,20,1,1,1,AND
20070288,54,620,2,1,1,PRT
20070289,40,724,2,1,1,ESP
20070290,68,724,2,1,1,ESP
20070291,33,620,1,1,1,PRT
20070292,52,724,1,1,1,ESP
20070293,57,250,2,0,1,FRA
20070294,58,724,2,1,1,ESP
20070295,20,20,1,1,1,AND
20070296,32,32,2,1,1,ARG
20070297,73,724,1,0,1,ESP
20070298,40,724,2,1,1,ESP
20070299,58,170,2,1,1,COL
20070300,48,20,1,1,1,AND
20070301,48,724,1,0,1,ESP
20070302,65,724,2,1,1,ESP
20070303,40,20,1,1,1,AND
20070304,67,356,1,6,1,IND
20070305,48,20,1,1,1,AND
20070306,86,250,2,1,1,FRA
20070307,55,724,2,1,1,ESP
20070308,58,250,2,0,1,FRA
20070309,80,20,2,1,1,AND
20070310,52,20,1,0,1,AND
20070311,54,620,2,1,1,PRT
20070312,62,724,2,1,1,ESP
20070313,34,724,2,0,1,ESP
20070314,53,724,2,0,1,ESP
20070315,27,20,1,0,1,AND
20070316,48,170,2,1,1,COL
20070317,23,20,2,0,1,AND
20070318,46,620,1,1,1,PRT
20070319,56,620,1,1,1,PRT
20070320,43,724,1,0,1,ESP
20070321,48,620,1,1,1,PRT
20070322,56,724,2,1,1,ESP
20070323,37,20,2,1,1,AND
20070324,43,20,2,1,1,AND
20070325,83,724,1,1,1,ESP
20070326,45,724,1,1,1,ESP
20070327,24,20,2,1,1,AND
20070328,52,620,1,1,1,PRT
20070329,27,340,2,0,1,HND
20070330,58,32,1,1,1,ARG
20070331,59,724,1,0,1,ESP
20070332,38,620,1,0,1,PRT
20070333,62,620,1,1,1,PRT
20070334,49,620,2,1,1,PRT
20070335,40,620,1,1,1,PRT
20070336,33,724,1,1,1,ESP
20070337,52,724,1,0,1,ESP
20070338,35,620,2,1,1,PRT
20070339,35,724,1,1,1,ESP
20070340,50,20,1,1,1,AND
20070341,30,203,2,0,1,CZE
20070342,43,724,2,1,1,ESP
20070343,49,724,1,0,1,ESP
20070344,52,724,1,1,1,ESP
20070345,47,724,1,0,1,ESP
20070346,35,724,2,0,1,ESP
20070347,70,826,2,2,1,GBR
